
Step(*): 0, t: 0.015625, dt: 0, highest active timebin: 0  (lowest active: 0, highest occupied: 0)
Step(*): 177, t: 0.0320642, dt: 0.000129962, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 178, t: 0.0321947, dt: 0.000130491, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 179, t: 0.0323258, dt: 0.000131022, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 180, t: 0.0324573, dt: 0.000131555, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 181, t: 0.0325894, dt: 0.00013209, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 182, t: 0.032722, dt: 0.000132628, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 183, t: 0.0328552, dt: 0.000133168, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 184, t: 0.0329889, dt: 0.00013371, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 185, t: 0.0331232, dt: 0.000134254, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 186, t: 0.033258, dt: 0.0001348, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 187, t: 0.0333933, dt: 0.000135349, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 188, t: 0.0335292, dt: 0.0001359, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 189, t: 0.0336657, dt: 0.000136453, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 190, t: 0.0338027, dt: 0.000137008, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 191, t: 0.0339402, dt: 0.000137566, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 192, t: 0.0340784, dt: 0.000138126, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 193, t: 0.0342171, dt: 0.000138688, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 194, t: 0.0343563, dt: 0.000139252, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 195, t: 0.0344961, dt: 0.000139819, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 196, t: 0.0346365, dt: 0.000140388, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 197, t: 0.0347775, dt: 0.000140959, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 198, t: 0.034919, dt: 0.000141533, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 199, t: 0.0350611, dt: 0.000142109, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 200, t: 0.0352038, dt: 0.000142687, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 201, t: 0.0353471, dt: 0.000143268, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 202, t: 0.0354909, dt: 0.000143851, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 203, t: 0.0356354, dt: 0.000144436, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 204, t: 0.0357804, dt: 0.000145024, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 205, t: 0.035926, dt: 0.000145614, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 206, t: 0.0360722, dt: 0.000146207, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 207, t: 0.036219, dt: 0.000146802, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 208, t: 0.0363664, dt: 0.000147399, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 209, t: 0.0365144, dt: 0.000147999, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 210, t: 0.036663, dt: 0.000148601, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 211, t: 0.0368122, dt: 0.000149206, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 212, t: 0.036962, dt: 0.000149813, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 213, t: 0.0371124, dt: 0.000150423, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 214, t: 0.0372635, dt: 0.000151035, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 215, t: 0.0374151, dt: 0.00015165, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 216, t: 0.0375674, dt: 0.000152267, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 217, t: 0.0377203, dt: 0.000152887, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 218, t: 0.0378738, dt: 0.000153509, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 219, t: 0.0380279, dt: 0.000154134, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 220, t: 0.0381827, dt: 0.000154761, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 221, t: 0.0383381, dt: 0.000155391, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 222, t: 0.0384941, dt: 0.000156023, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

Step(*): 223, t: 0.0386508, dt: 0.000156658, highest active timebin: 19  (lowest active: 19, highest occupied: 19)

